,Lux
19/04/19 03:43:27,0.00
19/04/19 03:43:32,0.00
19/04/19 03:43:34,0.00
19/04/19 03:43:38,0.00
19/04/19 03:43:42,0.00
19/04/19 03:43:46,0.00
19/04/19 03:43:50,0.00
19/04/19 03:43:53,0.00
19/04/19 03:43:57,0.00
19/04/19 03:44:01,0.00
19/04/19 03:44:05,0.00
19/04/19 03:44:07,0.00
19/04/19 03:44:12,0.00
19/04/19 03:44:16,0.00
19/04/19 03:44:20,0.00
19/04/19 03:44:24,0.00
19/04/19 03:44:26,0.00
19/04/19 03:44:30,0.00
19/04/19 03:44:35,0.00
19/04/19 03:44:39,0.00
19/04/19 03:44:41,0.00
19/04/19 03:44:45,0.00
19/04/19 03:44:49,0.00
19/04/19 03:44:53,0.00
19/04/19 03:44:58,0.00
19/04/19 03:45:00,0.00
19/04/19 03:45:04,0.00
19/04/19 03:45:08,0.00
19/04/19 03:45:12,0.00
19/04/19 03:45:15,0.00
19/04/19 03:45:19,0.00
19/04/19 03:45:23,0.00
19/04/19 03:45:27,0.00
19/04/19 03:45:31,0.00
19/04/19 03:45:34,0.00
19/04/19 03:45:38,0.00
19/04/19 03:45:42,0.00
19/04/19 03:45:46,0.00
19/04/19 03:45:48,0.00
19/04/19 03:45:52,0.00
19/04/19 03:45:57,0.00
19/04/19 03:46:01,0.00
19/04/19 03:46:05,0.00
19/04/19 03:46:07,0.00
19/04/19 03:46:11,0.00
19/04/19 03:46:15,0.00
19/04/19 03:46:20,0.00
19/04/19 03:46:24,0.00
19/04/19 03:46:26,0.00
19/04/19 03:46:30,0.00
19/04/19 03:46:34,0.00
19/04/19 03:46:39,0.00
19/04/19 03:46:41,0.00
19/04/19 03:46:45,0.00
19/04/19 03:46:49,0.00
19/04/19 03:46:53,0.00
19/04/19 03:46:56,0.00
19/04/19 03:47:00,0.00
19/04/19 03:47:04,0.00
19/04/19 03:47:08,0.00
19/04/19 03:47:12,0.00
19/04/19 03:47:14,0.00
19/04/19 03:47:19,0.00
19/04/19 03:47:23,0.00
19/04/19 03:47:27,0.00
19/04/19 03:47:31,0.00
19/04/19 03:47:33,0.00
19/04/19 03:47:37,0.00
19/04/19 03:47:42,0.00
19/04/19 03:47:46,0.00
19/04/19 03:47:48,0.00
19/04/19 03:47:52,0.00
19/04/19 03:47:56,0.00
19/04/19 03:48:01,0.00
19/04/19 03:48:05,0.00
19/04/19 03:48:07,0.00
19/04/19 03:48:11,0.00
19/04/19 03:48:15,0.00
19/04/19 03:48:20,0.00
19/04/19 03:48:22,0.00
19/04/19 03:48:26,0.00
19/04/19 03:48:30,0.00
19/04/19 03:48:34,0.00
19/04/19 03:48:38,0.00
19/04/19 03:48:41,0.00
19/04/19 03:48:45,0.00
19/04/19 03:48:49,0.00
19/04/19 03:48:53,0.00
19/04/19 03:48:55,0.00
19/04/19 03:48:59,0.00
19/04/19 03:49:04,0.00
19/04/19 03:49:08,0.00
19/04/19 03:49:12,0.00
19/04/19 03:49:14,0.00
19/04/19 03:49:18,0.00
19/04/19 03:49:23,0.00
19/04/19 03:49:27,0.00
19/04/19 03:49:29,0.00
19/04/19 03:49:33,0.00
19/04/19 03:49:37,0.00
19/04/19 03:49:42,0.00
19/04/19 03:49:46,0.00
19/04/19 03:49:48,0.00
19/04/19 03:49:52,0.00
19/04/19 03:49:56,0.00
19/04/19 03:50:00,0.00
19/04/19 03:50:03,0.00
19/04/19 03:50:07,0.00
19/04/19 03:50:11,0.00
19/04/19 03:50:15,0.00
19/04/19 03:50:19,0.00
19/04/19 03:50:22,0.00
19/04/19 03:50:26,0.00
19/04/19 03:50:30,0.00
19/04/19 03:50:34,0.00
19/04/19 03:50:36,0.00
19/04/19 03:50:40,0.00
19/04/19 03:50:45,0.00
19/04/19 03:50:49,0.00
19/04/19 03:50:53,0.00
19/04/19 03:50:55,0.00
19/04/19 03:50:59,0.00
19/04/19 03:51:04,0.00
19/04/19 03:51:08,0.00
19/04/19 03:51:10,0.00
19/04/19 03:51:14,0.00
19/04/19 03:51:18,0.00
19/04/19 03:51:22,0.00
19/04/19 03:51:27,0.00
19/04/19 03:51:29,0.00
19/04/19 03:51:33,0.00
19/04/19 03:51:37,0.00
19/04/19 03:51:41,0.00
19/04/19 03:51:44,0.00
19/04/19 03:51:48,0.00
19/04/19 03:51:52,0.00
19/04/19 03:51:56,0.00
19/04/19 03:52:00,0.00
19/04/19 03:52:03,0.00
19/04/19 03:52:07,0.00
19/04/19 03:52:11,0.00
19/04/19 03:52:15,0.00
19/04/19 03:52:17,0.00
19/04/19 03:52:21,0.00
19/04/19 03:52:26,0.00
19/04/19 03:52:30,0.00
19/04/19 03:52:34,0.00
19/04/19 03:52:36,0.00
19/04/19 03:52:40,0.00
19/04/19 03:52:44,0.00
19/04/19 03:52:49,0.00
19/04/19 03:52:53,0.00
19/04/19 03:52:55,0.00
19/04/19 03:52:59,0.00
19/04/19 03:53:03,0.00
19/04/19 03:53:08,0.00
19/04/19 03:53:10,0.00
19/04/19 03:53:14,0.00
19/04/19 03:53:18,0.00
19/04/19 03:53:22,0.00
19/04/19 03:53:25,0.00
19/04/19 03:53:29,0.00
19/04/19 03:53:33,0.00
19/04/19 03:53:37,0.00
19/04/19 03:53:41,0.00
19/04/19 03:53:43,0.00
19/04/19 03:53:48,0.00
19/04/19 03:53:52,0.00
19/04/19 03:53:56,0.00
19/04/19 03:54:00,0.00
19/04/19 03:54:02,0.00
19/04/19 03:54:06,0.00
19/04/19 03:54:11,0.00
19/04/19 03:54:15,0.00
19/04/19 03:54:17,0.00
19/04/19 03:54:21,0.00
19/04/19 03:54:25,0.00
19/04/19 03:54:30,0.00
19/04/19 03:54:32,0.00
19/04/19 03:54:36,0.00
19/04/19 03:54:40,0.00
19/04/19 03:54:44,0.00
19/04/19 03:54:49,0.00
19/04/19 03:54:51,0.00
19/04/19 03:54:55,0.00
19/04/19 03:54:59,0.00
19/04/19 03:55:03,0.00
19/04/19 03:55:07,0.00
19/04/19 03:55:10,0.00
19/04/19 03:55:14,0.00
19/04/19 03:55:18,0.00
19/04/19 03:55:22,0.00
19/04/19 03:55:24,0.00
19/04/19 03:55:28,0.00
19/04/19 03:55:33,0.00
19/04/19 03:55:37,0.00
19/04/19 03:55:41,0.00
19/04/19 03:55:43,0.00
19/04/19 03:55:47,0.00
19/04/19 03:55:52,0.00
19/04/19 03:55:56,0.00
19/04/19 03:55:58,0.00
19/04/19 03:56:02,0.00
19/04/19 03:56:06,0.00
19/04/19 03:56:11,0.00
19/04/19 03:56:13,0.00
19/04/19 03:56:17,0.00
19/04/19 03:56:21,0.00
19/04/19 03:56:25,0.00
19/04/19 03:56:29,0.00
19/04/19 03:56:32,0.00
19/04/19 03:56:36,0.00
19/04/19 03:56:40,0.00
19/04/19 03:56:44,0.00
19/04/19 03:56:46,0.00
19/04/19 03:56:51,0.00
19/04/19 03:56:55,0.00
19/04/19 03:56:59,0.00
19/04/19 03:57:03,0.00
19/04/19 03:57:05,0.00
19/04/19 03:57:10,0.00
19/04/19 03:57:14,0.00
19/04/19 03:57:18,0.00
19/04/19 03:57:20,0.00
19/04/19 03:57:24,0.00
19/04/19 03:57:29,0.00
19/04/19 03:57:33,0.00
19/04/19 03:57:37,0.00
19/04/19 03:57:39,0.00
19/04/19 03:57:43,0.00
19/04/19 03:57:47,0.00
19/04/19 03:57:52,0.00
19/04/19 03:57:56,0.00
19/04/19 03:57:58,0.00
19/04/19 03:58:02,0.00
19/04/19 03:58:06,0.00
19/04/19 03:58:10,0.00
19/04/19 03:58:13,0.00
19/04/19 03:58:17,0.00
19/04/19 03:58:21,0.00
19/04/19 03:58:25,0.00
19/04/19 03:58:29,0.00
19/04/19 03:58:32,0.00
19/04/19 03:58:36,0.00
19/04/19 03:58:40,0.00
19/04/19 03:58:44,0.00
19/04/19 03:58:46,0.00
19/04/19 03:58:51,0.00
19/04/19 03:58:55,0.00
19/04/19 03:58:59,0.00
19/04/19 03:59:03,0.00
19/04/19 03:59:05,0.00
19/04/19 03:59:09,0.00
19/04/19 03:59:14,0.00
19/04/19 03:59:18,0.00
19/04/19 03:59:20,0.00
19/04/19 03:59:24,0.00
19/04/19 03:59:28,0.00
19/04/19 03:59:33,0.00
19/04/19 03:59:35,0.00
19/04/19 03:59:39,0.00
19/04/19 03:59:43,0.00
19/04/19 03:59:47,0.00
19/04/19 03:59:52,0.00
19/04/19 03:59:54,0.00
19/04/19 03:59:58,0.00
19/04/19 04:00:02,0.00
19/04/19 04:00:06,0.00
19/04/19 04:00:09,0.00
19/04/19 04:00:13,0.00
19/04/19 04:00:17,0.00
19/04/19 04:00:21,0.00
19/04/19 04:00:25,0.00
19/04/19 04:00:27,0.00
19/04/19 04:00:32,0.00
19/04/19 04:00:36,0.00
19/04/19 04:00:40,0.00
19/04/19 04:00:42,0.00
19/04/19 04:00:46,0.00
19/04/19 04:00:51,0.00
19/04/19 04:00:55,0.00
19/04/19 04:00:59,0.00
19/04/19 04:01:01,0.00
19/04/19 04:01:05,0.00
19/04/19 04:01:10,0.00
19/04/19 04:01:14,0.00
19/04/19 04:01:16,0.00
19/04/19 04:01:20,0.00
19/04/19 04:01:24,0.00
19/04/19 04:01:29,0.00
19/04/19 04:01:33,0.00
19/04/19 04:01:35,0.00
19/04/19 04:01:39,0.00
19/04/19 04:01:43,0.00
19/04/19 04:01:47,0.00
19/04/19 04:01:50,0.00
19/04/19 04:01:54,0.00
19/04/19 04:01:58,0.00
19/04/19 04:02:02,0.00
19/04/19 04:02:06,0.00
19/04/19 04:02:09,0.00
19/04/19 04:02:13,0.00
19/04/19 04:02:17,0.00
19/04/19 04:02:21,0.00
19/04/19 04:02:23,0.00
19/04/19 04:02:28,0.00
19/04/19 04:02:32,0.00
19/04/19 04:02:36,0.00
19/04/19 04:02:40,0.00
19/04/19 04:02:42,0.00
19/04/19 04:02:46,0.00
19/04/19 04:02:51,0.00
19/04/19 04:02:55,0.00
19/04/19 04:02:57,0.00
19/04/19 04:03:01,0.00
19/04/19 04:03:05,0.00
19/04/19 04:03:10,0.00
19/04/19 04:03:14,0.00
19/04/19 04:03:16,0.00
19/04/19 04:03:20,0.00
19/04/19 04:03:24,0.00
19/04/19 04:03:29,0.00
19/04/19 04:03:31,0.00
19/04/19 04:03:35,0.00
19/04/19 04:03:39,0.00
19/04/19 04:03:43,0.00
19/04/19 04:03:45,0.00
19/04/19 04:03:50,0.00
19/04/19 04:03:54,0.00
19/04/19 04:03:58,0.00
19/04/19 04:04:02,0.00
19/04/19 04:04:04,0.00
19/04/19 04:04:09,0.00
19/04/19 04:04:13,0.00
19/04/19 04:04:17,0.00
19/04/19 04:04:19,0.00
19/04/19 04:04:23,0.00
19/04/19 04:04:28,0.00
19/04/19 04:04:32,0.00
19/04/19 04:04:36,0.00
19/04/19 04:04:38,0.00
19/04/19 04:04:42,0.00
19/04/19 04:04:47,0.00
19/04/19 04:04:51,0.00
19/04/19 04:04:53,0.00
19/04/19 04:04:57,0.00
19/04/19 04:05:01,0.00
19/04/19 04:05:06,0.00
19/04/19 04:05:10,0.00
19/04/19 04:05:12,0.00
19/04/19 04:05:16,0.00
19/04/19 04:05:20,0.00
19/04/19 04:05:24,0.00
19/04/19 04:05:27,0.00
19/04/19 04:05:31,0.00
19/04/19 04:05:35,0.00
19/04/19 04:05:39,0.00
19/04/19 04:05:43,0.00
19/04/19 04:05:46,0.00
19/04/19 04:05:50,0.00
19/04/19 04:05:54,0.00
19/04/19 04:05:58,0.00
19/04/19 04:06:00,0.00
19/04/19 04:06:05,0.00
19/04/19 04:06:09,0.00
19/04/19 04:06:13,0.00
19/04/19 04:06:15,0.00
19/04/19 04:06:19,0.00
19/04/19 04:06:24,0.00
19/04/19 04:06:28,0.00
19/04/19 04:06:32,0.00
19/04/19 04:06:34,0.00
19/04/19 04:06:38,0.00
19/04/19 04:06:42,0.00
19/04/19 04:06:47,0.00
19/04/19 04:06:49,0.00
19/04/19 04:06:53,0.00
19/04/19 04:06:57,0.00
19/04/19 04:07:01,0.00
19/04/19 04:07:06,0.00
19/04/19 04:07:08,0.00
19/04/19 04:07:12,0.00
19/04/19 04:07:16,0.00
19/04/19 04:07:21,0.00
19/04/19 04:07:23,0.00
19/04/19 04:07:27,0.00
19/04/19 04:07:31,0.00
19/04/19 04:07:35,0.00
19/04/19 04:07:37,0.00
19/04/19 04:07:42,0.00
19/04/19 04:07:46,0.00
19/04/19 04:07:50,0.00
19/04/19 04:07:54,0.00
19/04/19 04:07:56,0.00
19/04/19 04:08:00,0.00
19/04/19 04:08:05,0.00
19/04/19 04:08:09,0.00
19/04/19 04:08:11,0.00
19/04/19 04:08:15,0.00
19/04/19 04:08:20,0.00
19/04/19 04:08:24,0.00
19/04/19 04:08:26,0.00
19/04/19 04:08:30,0.00
19/04/19 04:08:34,0.00
19/04/19 04:08:39,0.00
19/04/19 04:08:43,0.00
19/04/19 04:08:45,0.00
19/04/19 04:08:49,0.00
19/04/19 04:08:53,0.00
19/04/19 04:08:57,0.00
19/04/19 04:09:00,0.00
19/04/19 04:09:04,0.00
19/04/19 04:09:08,0.00
19/04/19 04:09:12,0.00
19/04/19 04:09:17,0.00
19/04/19 04:09:19,0.00
19/04/19 04:09:23,0.00
19/04/19 04:09:27,0.00
19/04/19 04:09:31,0.00
19/04/19 04:09:34,0.00
19/04/19 04:09:38,0.00
19/04/19 04:09:42,0.00
19/04/19 04:09:46,0.00
19/04/19 04:09:50,0.00
19/04/19 04:09:52,0.00
19/04/19 04:09:57,0.00
19/04/19 04:10:01,0.00
19/04/19 04:10:05,0.00
19/04/19 04:10:07,0.00
19/04/19 04:10:11,0.00
19/04/19 04:10:16,0.00
19/04/19 04:10:20,0.00
19/04/19 04:10:22,0.00
19/04/19 04:10:26,0.00
19/04/19 04:10:30,0.00
19/04/19 04:10:35,0.00
19/04/19 04:10:37,0.00
19/04/19 04:10:41,0.00
19/04/19 04:10:45,0.00
19/04/19 04:10:49,0.00
19/04/19 04:10:54,0.00
19/04/19 04:10:56,0.00
19/04/19 04:11:00,0.00
19/04/19 04:11:04,0.00
19/04/19 04:11:08,0.00
19/04/19 04:11:10,0.00
19/04/19 04:11:15,0.00
19/04/19 04:11:19,0.00
19/04/19 04:11:23,0.00
19/04/19 04:11:27,0.00
19/04/19 04:11:29,0.00
19/04/19 04:11:34,0.00
19/04/19 04:11:38,0.00
19/04/19 04:11:42,0.00
19/04/19 04:11:44,0.00
19/04/19 04:11:48,0.00
19/04/19 04:11:53,0.00
19/04/19 04:11:57,0.00
19/04/19 04:11:59,0.00
19/04/19 04:12:03,0.00
19/04/19 04:12:07,0.00
19/04/19 04:12:12,0.00
19/04/19 04:12:16,0.00
19/04/19 04:12:18,0.00
19/04/19 04:12:22,0.00
19/04/19 04:12:26,0.00
19/04/19 04:12:31,0.00
19/04/19 04:12:33,0.00
19/04/19 04:12:37,0.00
19/04/19 04:12:41,0.00
19/04/19 04:12:45,0.00
19/04/19 04:12:50,0.00
19/04/19 04:12:52,0.00
19/04/19 04:12:56,0.00
19/04/19 04:13:00,0.00
19/04/19 04:13:04,0.00
19/04/19 04:13:07,0.00
19/04/19 04:13:11,0.00
19/04/19 04:13:15,0.00
19/04/19 04:13:19,0.00
19/04/19 04:13:23,0.00
19/04/19 04:13:25,0.00
19/04/19 04:13:30,0.00
19/04/19 04:13:34,0.00
19/04/19 04:13:38,0.00
19/04/19 04:13:40,0.00
19/04/19 04:13:44,0.00
19/04/19 04:13:49,0.00
19/04/19 04:13:53,0.00
19/04/19 04:13:55,0.00
19/04/19 04:13:59,0.00
19/04/19 04:14:03,0.00
19/04/19 04:14:08,0.00
19/04/19 04:14:12,0.00
19/04/19 04:14:14,0.00
19/04/19 04:14:18,0.00
19/04/19 04:14:22,0.00
19/04/19 04:14:27,0.00
19/04/19 04:14:29,0.00
19/04/19 04:14:33,0.00
19/04/19 04:14:37,0.00
19/04/19 04:14:41,0.00
19/04/19 04:14:46,0.00
19/04/19 04:14:48,0.00
19/04/19 04:14:52,0.00
19/04/19 04:14:56,0.00
19/04/19 04:15:00,0.00
19/04/19 04:15:02,0.00
19/04/19 04:15:07,0.00
19/04/19 04:15:11,0.00
19/04/19 04:15:15,0.00
19/04/19 04:15:17,0.00
19/04/19 04:15:22,0.00
19/04/19 04:15:26,0.00
19/04/19 04:15:30,0.00
19/04/19 04:15:34,0.00
19/04/19 04:15:36,0.00
19/04/19 04:15:40,0.00
19/04/19 04:15:45,0.00
19/04/19 04:15:49,0.00
19/04/19 04:15:51,0.00
19/04/19 04:15:55,0.00
19/04/19 04:15:59,0.00
19/04/19 04:16:04,0.00
19/04/19 04:16:06,0.00
19/04/19 04:16:10,0.00
19/04/19 04:16:14,0.00
19/04/19 04:16:19,0.00
19/04/19 04:16:23,0.00
19/04/19 04:16:25,0.00
19/04/19 04:16:29,0.00
19/04/19 04:16:33,0.00
19/04/19 04:16:38,0.00
19/04/19 04:16:40,0.00
19/04/19 04:16:44,0.00
19/04/19 04:16:48,0.00
19/04/19 04:16:52,0.00
19/04/19 04:16:54,0.00
19/04/19 04:16:59,0.00
19/04/19 04:17:03,0.00
19/04/19 04:17:07,0.00
19/04/19 04:17:11,0.00
19/04/19 04:17:13,0.00
19/04/19 04:17:18,0.00
19/04/19 04:17:22,0.00
19/04/19 04:17:26,0.00
19/04/19 04:17:28,0.00
19/04/19 04:17:32,0.00
19/04/19 04:17:37,0.00
19/04/19 04:17:41,0.00
19/04/19 04:17:43,0.00
19/04/19 04:17:47,0.00
19/04/19 04:17:51,0.00
19/04/19 04:17:56,0.00
19/04/19 04:18:00,0.00
19/04/19 04:18:02,0.00
19/04/19 04:18:06,0.00
19/04/19 04:18:10,0.00
19/04/19 04:18:15,0.00
19/04/19 04:18:17,0.00
19/04/19 04:18:21,0.00
19/04/19 04:18:25,0.00
19/04/19 04:18:29,0.00
19/04/19 04:18:34,0.00
19/04/19 04:18:36,0.00
19/04/19 04:18:40,0.00
19/04/19 04:18:44,0.00
19/04/19 04:18:48,0.00
19/04/19 04:18:51,0.00
19/04/19 04:18:55,0.00
19/04/19 04:18:59,0.00
19/04/19 04:19:03,0.00
19/04/19 04:19:05,0.00
19/04/19 04:19:10,0.00
19/04/19 04:19:14,0.00
19/04/19 04:19:18,0.00
19/04/19 04:19:22,0.00
19/04/19 04:19:24,0.00
19/04/19 04:19:29,0.00
19/04/19 04:19:33,0.00
19/04/19 04:19:37,0.00
19/04/19 04:19:39,0.00
19/04/19 04:19:43,0.00
19/04/19 04:19:48,0.00
19/04/19 04:19:52,0.00
19/04/19 04:19:54,0.00
19/04/19 04:19:58,0.00
19/04/19 04:20:02,0.00
19/04/19 04:20:07,0.00
19/04/19 04:20:11,0.00
19/04/19 04:20:13,0.00
19/04/19 04:20:17,0.00
19/04/19 04:20:21,0.00
19/04/19 04:20:26,0.00
19/04/19 04:20:28,0.00
19/04/19 04:20:32,0.00
19/04/19 04:20:36,0.00
19/04/19 04:20:40,0.00
19/04/19 04:20:42,0.00
19/04/19 04:20:47,0.00
19/04/19 04:20:51,0.00
19/04/19 04:20:55,0.00
19/04/19 04:20:59,0.00
19/04/19 04:21:02,0.00
19/04/19 04:21:06,0.00
19/04/19 04:21:10,0.00
19/04/19 04:21:14,0.00
19/04/19 04:21:16,0.00
19/04/19 04:21:21,0.00
19/04/19 04:21:25,0.00
19/04/19 04:21:29,0.00
19/04/19 04:21:31,0.00
19/04/19 04:21:35,0.00
19/04/19 04:21:40,0.00
19/04/19 04:21:44,0.00
19/04/19 04:21:48,0.00
19/04/19 04:21:50,0.00
19/04/19 04:21:54,0.00
19/04/19 04:21:59,0.00
19/04/19 04:22:03,0.00
19/04/19 04:22:05,0.00
19/04/19 04:22:09,0.00
19/04/19 04:22:13,0.00
19/04/19 04:22:18,0.00
19/04/19 04:22:20,0.00
19/04/19 04:22:24,0.00
19/04/19 04:22:28,0.00
19/04/19 04:22:32,0.00
19/04/19 04:22:37,0.00
19/04/19 04:22:39,0.00
19/04/19 04:22:43,0.00
19/04/19 04:22:47,0.00
19/04/19 04:22:51,0.00
19/04/19 04:22:54,0.00
19/04/19 04:22:58,0.00
19/04/19 04:23:02,0.00
19/04/19 04:23:06,0.00
19/04/19 04:23:08,0.00
19/04/19 04:23:13,0.00
19/04/19 04:23:17,0.00
19/04/19 04:23:21,0.00
19/04/19 04:23:25,0.00
19/04/19 04:23:27,0.00
19/04/19 04:23:32,0.00
19/04/19 04:23:36,0.00
19/04/19 04:23:40,0.00
19/04/19 04:23:42,0.00
19/04/19 04:23:46,0.00
19/04/19 04:23:51,0.00
19/04/19 04:23:55,0.00
19/04/19 04:23:59,0.00
19/04/19 04:24:01,0.00
19/04/19 04:24:05,0.00
19/04/19 04:24:10,0.00
19/04/19 04:24:14,0.00
19/04/19 04:24:16,0.00
19/04/19 04:24:20,0.00
19/04/19 04:24:24,0.00
19/04/19 04:24:29,0.00
19/04/19 04:24:31,0.00
19/04/19 04:24:35,0.00
19/04/19 04:24:39,0.00
19/04/19 04:24:43,0.00
19/04/19 04:24:48,0.00
19/04/19 04:24:50,0.00
19/04/19 04:24:54,0.00
19/04/19 04:24:58,0.00
19/04/19 04:25:02,0.00
19/04/19 04:25:05,0.00
19/04/19 04:25:09,0.00
19/04/19 04:25:13,0.00
19/04/19 04:25:17,0.00
19/04/19 04:25:19,0.00
19/04/19 04:25:24,0.00
19/04/19 04:25:28,0.00
19/04/19 04:25:32,0.00
19/04/19 04:25:34,0.00
19/04/19 04:25:38,0.00
19/04/19 04:25:43,0.00
19/04/19 04:25:47,0.00
19/04/19 04:25:51,0.00
19/04/19 04:25:53,0.00
19/04/19 04:25:57,0.00
19/04/19 04:26:02,0.00
19/04/19 04:26:06,0.00
19/04/19 04:26:08,0.00
19/04/19 04:26:12,0.00
19/04/19 04:26:16,0.00
19/04/19 04:26:21,0.00
19/04/19 04:26:23,0.00
19/04/19 04:26:27,0.00
19/04/19 04:26:31,0.00
19/04/19 04:26:35,0.00
19/04/19 04:26:40,0.00
19/04/19 04:26:42,0.00
19/04/19 04:26:46,0.00
19/04/19 04:26:50,0.00
19/04/19 04:26:54,0.00
19/04/19 04:26:57,0.00
19/04/19 04:27:01,0.00
19/04/19 04:27:05,0.00
19/04/19 04:27:09,0.00
19/04/19 04:27:13,0.00
19/04/19 04:27:16,0.00
19/04/19 04:27:20,0.00
19/04/19 04:27:24,0.00
19/04/19 04:27:28,0.00
19/04/19 04:27:30,0.00
19/04/19 04:27:35,0.00
19/04/19 04:27:39,0.00
19/04/19 04:27:43,0.00
19/04/19 04:27:45,0.00
19/04/19 04:27:49,0.00
19/04/19 04:27:54,0.00
19/04/19 04:27:58,0.00
19/04/19 04:28:02,0.00
19/04/19 04:28:04,0.00
19/04/19 04:28:08,0.00
19/04/19 04:28:13,0.00
19/04/19 04:28:17,0.00
19/04/19 04:28:19,0.00
19/04/19 04:28:23,0.00
19/04/19 04:28:27,0.00
19/04/19 04:28:32,0.00
19/04/19 04:28:34,0.00
19/04/19 04:28:38,0.00
19/04/19 04:28:42,0.00
19/04/19 04:28:47,0.00
19/04/19 04:28:49,0.00
19/04/19 04:28:53,0.00
19/04/19 04:28:57,0.00
19/04/19 04:29:01,0.00
19/04/19 04:29:05,0.00
19/04/19 04:29:08,0.00
19/04/19 04:29:12,0.00
19/04/19 04:29:16,0.00
19/04/19 04:29:20,0.00
19/04/19 04:29:22,0.00
19/04/19 04:29:27,0.00
19/04/19 04:29:31,0.00
19/04/19 04:29:35,0.00
19/04/19 04:29:39,0.00
19/04/19 04:29:41,0.00
19/04/19 04:29:46,0.00
19/04/19 04:29:50,0.00
19/04/19 04:29:54,0.00
19/04/19 04:29:56,0.00
19/04/19 04:30:00,0.00
19/04/19 04:30:05,0.00
19/04/19 04:30:09,0.00
19/04/19 04:30:11,0.00
19/04/19 04:30:15,0.00
19/04/19 04:30:19,0.00
19/04/19 04:30:24,0.00
19/04/19 04:30:26,0.00
19/04/19 04:30:30,0.00
19/04/19 04:30:34,0.00
19/04/19 04:30:39,0.00
19/04/19 04:30:43,0.00
19/04/19 04:30:45,0.00
19/04/19 04:30:49,0.00
19/04/19 04:30:53,0.00
19/04/19 04:30:58,0.00
19/04/19 04:31:00,0.00
19/04/19 04:31:04,0.00
